,total_matches,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored,goals_conceded,avg_goals_scored,avg_goals_conceded,goal_diff_per_match,xg_for,xg_against,avg_xg_for,avg_xg_against,xg_diff_per_match,xg_overperf,yellow_cards,avg_yellow_cards,clean_sheets,clean_sheet_rate
guinea,2,0,0,2,0.0,0.0,1.0,1,5,0.5,2.5,-2.0,1.9,4.6,0.95,2.3,-1.3499999999999999,-0.44999999999999996,5,2.5,0,0.0
mauritania,2,1,0,1,0.5,0.0,0.5,1,1,0.5,0.5,0.0,2.0999999999999996,2.6,1.0499999999999998,1.3,-0.2500000000000002,-0.5499999999999998,5,2.5,1,0.5
dominican republic,1,0,0,1,0.0,0.0,1.0,2,3,2.0,3.0,-1.0,1.47,1.88,1.47,1.88,-0.4099999999999999,0.53,3,3.0,0,0.0
trinidad and tobago,3,0,2,1,0.0,0.6666666666666666,0.3333333333333333,2,7,0.6666666666666666,2.3333333333333335,-1.666666666666667,1.85,5.449999999999999,0.6166666666666667,1.8166666666666664,-1.1999999999999997,0.04999999999999997,3,1.0,0,0.0
haiti,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,2,4,0.6666666666666666,1.3333333333333333,-0.6666666666666666,3.9800000000000004,3.3,1.3266666666666669,1.0999999999999999,0.22666666666666702,-0.6600000000000001,6,2.0,0,0.0
panama,8,5,1,2,0.625,0.125,0.25,17,14,2.125,1.75,0.375,10.23,9.85,1.27875,1.23125,0.0475000000000001,0.84625,13,1.625,1,0.125
guadeloupe,1,0,0,1,0.0,0.0,1.0,2,5,2.0,5.0,-3.0,1.42,2.18,1.42,2.18,-0.7600000000000002,0.5800000000000001,0,0.0,0,0.0
honduras,3,0,1,2,0.0,0.3333333333333333,0.6666666666666666,1,8,0.3333333333333333,2.6666666666666665,-2.333333333333333,2.62,4.92,0.8733333333333334,1.64,-0.7666666666666665,-0.54,6,2.0,0,0.0
suriname,1,0,0,1,0.0,0.0,1.0,0,2,0.0,2.0,-2.0,0.7,1.73,0.7,1.73,-1.03,-0.7,0,0.0,0,0.0
guatemala,4,0,2,2,0.0,0.5,0.5,2,4,0.5,1.0,-0.5,3.47,4.699999999999999,0.8675,1.1749999999999998,-0.3074999999999998,-0.36750000000000005,8,2.0,1,0.25
curaçao,1,0,1,0,0.0,1.0,0.0,1,1,1.0,1.0,0.0,0.58,0.73,0.58,0.73,-0.15000000000000002,0.42000000000000004,3,3.0,0,0.0
jamaica,3,0,0,3,0.0,0.0,1.0,2,8,0.6666666666666666,2.6666666666666665,-2.0,2.7199999999999998,4.33,0.9066666666666666,1.4433333333333334,-0.5366666666666667,-0.2399999999999999,6,2.0,0,0.0
elsalvador,1,0,0,1,0.0,0.0,1.0,0,2,0.0,2.0,-2.0,0.16,1.41,0.16,1.41,-1.25,-0.16,3,3.0,0,0.0
venezuela,3,2,1,0,0.6666666666666666,0.3333333333333333,0.0,4,2,1.3333333333333333,0.6666666666666666,0.6666666666666666,3.7199999999999998,5.39,1.24,1.7966666666666666,-0.5566666666666666,0.09333333333333342,5,1.6666666666666667,1,0.3333333333333333
